TestCaseID,NumTests_GivenCode,NumTests_GeneratedCode_GeminiPro,TotalTests_GeminiPro,PassedTests_FromGivenCode_GeminiPro,PassedTests_FromGeneratedCode_GeminiPro,TotalPassedTests_GeminiPro,NumTests_GeneratedCode_Codex,TotalTests_Codex,PassedTests_FromGivenCode_Codex,PassedTests_FromGeneratedCode_Codex,TotalPassedTests_Codex,NumTests_GeneratedCode_ChatGPT,TotalTests_ChatGPT,PassedTests_FromGivenCode_ChatGPT,PassedTests_FromGeneratedCode_ChatGPT,TotalPassedTests_ChatGPT,NumTests_GeneratedCode_Falcon,TotalTests_Falcon,PassedTests_FromGivenCode_Falcon,PassedTests_FromGeneratedCode_Falcon,TotalPassedTests_Falcon
00549329-ed0c-4400-9c84-9b6a5296582d,2,4,6,1,4,5,4,6,0,0,0,4,6,2,2,4,1,3,0,0,0
00ab4f27-1ef2-43ea-ae56-940cda37cadd,6,6,12,6,6,12,6,12,6,6,12,6,12,6,6,12,6,12,6,6,12
00f1c84f-5a56-40f7-8e6c-96745f951a64,2,2,4,2,2,4,2,4,2,2,4,2,4,2,2,4,1,3,2,1,3
0118a279-b821-4bc7-80d5-b16ce491b64b,2,6,8,2,6,8,1,3,0,0,0,4,6,0,2,2,1,3,0,0,0
01b65187-e7c2-44d7-b362-631e2190cef3,2,6,8,2,6,8,6,8,2,6,8,5,7,2,5,7,1,3,2,1,3
01ed5a62-b070-449d-8021-93bac5ea0b95,3,6,9,3,6,9,6,9,3,6,9,6,9,3,6,9,1,4,0,0,0
021a0f6f-1763-4cc4-8d0a-06efa6ae4b48,9,12,21,1,6,7,12,21,1,6,7,12,21,1,6,7,1,10,0,0,0
022f2a61-8386-40d7-80ac-385cc7cfc1f9,1,4,5,1,4,5,2,3,1,2,3,4,5,1,4,5,1,2,1,1,2
02474554-c235-455c-9bca-0c538ea6f018,2,2,4,2,2,4,2,4,2,2,4,2,4,2,2,4,2,4,2,2,4
024c033b-95d6-4fa8-8e6b-c0d9178348e5,5,5,10,5,5,10,5,10,5,5,10,5,10,5,5,10,5,10,5,5,10
03110143-b2a4-4131-b2ff-51c3161ea4b3,4,4,8,4,4,8,4,8,4,4,8,4,8,4,4,8,4,8,4,4,8
032499fb-027f-4a0f-b498-0f14966ee16b,2,9,11,2,9,11,9,11,2,9,11,5,7,2,5,7,2,4,2,2,4
03f920f9-919a-4fa5-8b03-54b72704544d,8,6,14,0,0,0,5,13,0,0,0,6,14,0,0,0,1,9,0,0,0
044bd72b-a426-41ff-a99a-b7f83aaf6f1b,2,2,4,2,2,4,2,4,2,2,4,2,4,2,2,4,2,4,2,2,4
0473587c-f01b-4cef-a08a-663a640e810a,4,4,8,4,4,8,4,8,4,4,8,4,8,4,4,8,4,8,4,4,8
04e6e7c3-540a-4c13-a09f-e03edd775f70,6,7,13,6,7,13,7,13,6,7,13,7,13,6,7,13,7,13,6,7,13
04ed620d-235b-431a-b9ee-578971c00c27,2,6,8,2,6,8,6,8,2,6,8,4,6,2,4,6,2,4,2,2,4
050927c8-ed55-43dc-a43c-cbe23bf0ea64,2,2,4,2,2,4,2,4,2,2,4,2,4,2,2,4,1,3,0,0,0
050affca-475e-43c8-a416-dc1ead6fd3eb,5,5,10,5,5,10,5,10,5,5,10,5,10,5,5,10,5,10,5,5,10
0532836a-34fc-4a44-b8b7-599d3926c16b,2,7,9,2,7,9,7,9,2,7,9,7,9,2,7,9,1,3,2,1,3
05bce5a2-4b55-4b68-82a4-78230519da7b,3,1,4,3,1,4,1,4,3,1,4,2,5,2,0,2,1,4,0,0,0
05dc58b1-2757-440c-914d-8046a5807e52,4,4,8,4,4,8,3,7,3,0,3,4,8,4,4,8,1,5,0,0,0
05f0941c-641a-4cbe-9f6a-7b15dad27850,2,2,4,2,2,4,2,4,0,0,0,2,4,0,2,2,1,3,0,0,0
061687ae-3360-4206-b5e2-5cd419880cff,2,2,4,0,0,0,2,4,0,0,0,2,4,0,0,0,1,3,0,0,0
063388af-cab2-4719-9fc5-70226ddbd15a,2,2,4,2,2,4,2,4,2,2,4,2,4,2,2,4,2,4,2,2,4
06ab4885-3456-4426-9952-9324a809f44b,2,2,4,2,2,4,2,4,2,2,4,2,4,2,2,4,1,3,0,0,0
06c9f33e-3c74-43d9-88d8-e6ac1002be6e,1,1,2,0,0,0,1,2,0,0,0,1,2,0,0,0,1,2,0,0,0
06e24731-9ec5-43b0-9e98-77911d58023e,3,3,6,3,3,6,3,6,3,3,6,3,6,3,3,6,3,6,3,3,6
06fbfa2d-561e-4aad-91cf-877ca0289352,2,4,6,2,4,6,4,6,2,4,6,4,6,2,4,6,2,4,2,2,4
076a5ecb-e61a-4637-9cf5-75eaec4754b9,2,6,8,0,2,2,6,8,0,2,2,6,8,0,2,2,6,8,0,2,2
07837e84-cc5c-4e8f-9e88-8ec4de12784f,2,5,7,2,5,7,5,7,2,5,7,5,7,2,5,7,2,4,2,2,4
0795eaa1-ed44-473e-b590-91b62a4db8f4,3,3,6,3,3,6,3,6,3,3,6,3,6,3,3,6,1,4,0,0,0
07af0675-950e-400e-8d2b-55d3c92fa51b,2,4,6,2,4,6,4,6,2,4,6,4,6,2,4,6,1,3,0,0,0
0827c301-2dc2-411e-997b-cac454cff3d3,2,5,7,2,5,7,5,7,2,5,7,5,7,2,5,7,1,3,0,0,0
08379a98-5955-4604-8450-3ccb83c7936a,2,1,3,2,1,3,2,4,2,2,4,1,3,2,1,3,2,4,2,2,4
08c1f887-a633-4c59-9236-b629a36a5641,2,2,4,2,2,4,2,4,0,0,0,2,4,2,2,4,1,3,0,0,0
08fdd344-8404-499a-b64c-5f5f8a6d261f,2,2,4,0,2,2,2,4,0,2,2,2,4,0,2,2,2,4,0,2,2
0998ef56-0dbb-4997-aa8c-de55648cbbf8,1,6,7,1,6,7,6,7,1,6,7,6,7,1,6,7,1,2,1,1,2
09b5cb42-0e7a-4e73-92f2-eb66c86cb4dc,25,23,48,25,23,48,23,48,25,23,48,23,48,25,23,48,23,48,25,23,48
09fe0d00-c686-4e95-807e-38067a4b53ae,13,4,17,0,0,0,4,17,0,0,0,4,17,0,0,0,4,17,0,0,0
0a912689-61af-42a4-89f1-ee190ace11e0,5,5,10,5,5,10,5,10,5,5,10,5,10,5,5,10,1,6,0,0,0
0abcf712-aa77-49ec-86ec-180e28896758,2,2,4,0,0,0,2,4,0,0,0,2,4,0,0,0,1,3,0,0,0
0b0d200a-461a-489d-8ad4-59d108fe6414,2,2,4,1,0,1,2,4,1,0,1,2,4,1,0,1,2,4,1,0,1
0b280966-c53f-4711-81b5-977371fc3606,2,11,13,2,11,13,11,13,2,11,13,11,13,2,11,13,1,3,2,1,3
0b4963e8-dca6-4a2f-8e0f-9887f5cc606d,1,1,2,0,0,0,4,5,1,4,5,1,2,0,0,0,2,3,1,2,3
0ba131c1-15d2-44a1-bc4e-7880d403cfd3,2,11,13,2,11,13,6,8,2,6,8,11,13,2,11,13,2,4,0,0,0
0c922e69-7c17-4e6b-a69c-44474f97767e,1,6,7,1,6,7,6,7,1,6,7,6,7,1,6,7,1,2,1,1,2
0ccf615c-6aae-4826-844d-5301e15cda7c,4,4,8,4,4,8,4,8,4,4,8,4,8,4,4,8,4,8,4,4,8
0cfd9712-72c1-46a5-9127-a814a6a3131c,3,5,8,2,2,4,5,8,2,2,4,9,12,2,2,4,1,4,0,0,0
0cfd9888-72c1-46a5-9127-a814a6a3131c,3,5,8,2,2,4,5,8,2,2,4,9,12,2,2,4,1,4,0,0,0
0cff72ba-399e-49ec-a2de-e872cb4ae189,4,4,8,4,4,8,4,8,4,4,8,4,8,4,4,8,4,8,4,4,8
0d1ed56c-70d0-436c-ac36-c8f95e3e5bfb,2,2,4,2,2,4,2,4,0,0,0,2,4,2,2,4,1,3,0,0,0
0d2a0bde-4aec-4c04-b24a-b0c966c67dc2,11,6,17,0,0,0,6,17,0,0,0,6,17,0,0,0,1,12,0,0,0
0d627238-99cb-499a-b4b3-617ddfde0471,8,8,16,8,8,16,8,16,8,8,16,8,16,8,8,16,8,16,8,8,16
0d7b1281-f997-4e21-be8a-c977116c2718,2,3,5,0,0,0,3,5,0,0,0,3,5,0,0,0,1,3,0,0,0
0d7f0794-b5ac-4195-88d8-36115872c423,2,5,7,0,2,2,5,7,0,2,2,5,7,0,2,2,5,7,0,2,2
0e6a7d70-9a4b-4f5e-94f9-fb648331b3b9,2,6,8,2,6,8,6,8,2,6,8,6,8,2,6,8,1,3,0,0,0
0f343936-0480-4346-850a-c85b42e2551e,2,6,8,2,6,8,1,3,0,0,0,6,8,2,6,8,1,3,0,0,0
0f3fe6a6-f15f-43d1-b7fb-5e144bf63ce9,2,2,4,0,0,0,2,4,0,0,0,2,4,0,0,0,1,3,0,0,0
0f830f3d-0312-4b75-99a7-e5e1b4a10d31,4,2,6,0,0,0,2,6,2,2,4,2,6,0,0,0,2,6,2,2,4
0f8b9a96-636b-46cf-9bc8-4cc626faf70f,2,2,4,2,2,4,2,4,2,2,4,2,4,2,2,4,2,4,2,2,4
0fac9ada-839c-4936-89ad-46e0ab929c20,3,2,5,2,2,4,2,5,2,2,4,2,5,2,2,4,1,4,0,0,0
0fe6f681-94d8-4a72-a34a-11582add48b3,2,1,3,2,1,3,1,3,2,1,3,1,3,2,1,3,2,4,2,2,4
0ff937ea-4ed2-4db3-8e0a-4794f92b21ca,2,6,8,2,6,8,6,8,2,6,8,6,8,2,6,8,1,3,2,1,3
100861d4-8497-4db4-ac50-aba985ab4ad8,2,2,4,2,2,4,3,5,2,3,5,2,4,2,2,4,1,3,0,0,0
1025ab01-8a45-489d-8023-07b243a48ce1,2,8,10,2,8,10,8,10,2,8,10,8,10,2,8,10,2,4,2,2,4
102b8be8-cf2d-4968-a799-acefa4ebadc1,4,4,8,4,4,8,4,8,4,4,8,4,8,4,4,8,4,8,4,4,8
104d36f9-7b26-44ef-988a-3a5b365e7ec7,2,2,4,2,2,4,2,4,2,2,4,2,4,2,2,4,1,3,0,0,0
105a1ba5-6a01-4c73-a6fc-c5c630518d61,3,2,5,0,2,2,2,5,0,2,2,2,5,0,2,2,2,5,0,2,2
1073a413-82d3-4b9b-a624-4ed7c251c424,1,1,2,1,1,2,1,2,1,1,2,1,2,1,1,2,1,2,1,1,2
10e5b0ff-b861-4607-9fa6-36bd7ff10113,10,10,20,10,10,20,10,20,10,10,20,10,20,10,10,20,10,20,10,10,20
1115b5d1-01bd-4f15-acba-75679528331f,1,1,2,0,0,0,1,2,0,0,0,1,2,0,0,0,1,2,0,0,0
113ee2be-c56d-4931-a8c1-c85452b11c64,2,4,6,2,4,6,4,6,2,4,6,6,8,2,6,8,2,4,2,2,4
118e6488-7f59-424c-bcc1-84f56a84e32d,1,4,5,1,4,5,2,3,1,2,3,4,5,1,4,5,1,2,1,1,2
119ccc18-6197-4daa-bede-47f80f0a89bf,2,3,5,2,3,5,3,5,2,3,5,3,5,2,3,5,2,4,2,2,4
11d86b22-93a2-4bba-afbb-daeafb5555c2,3,1,4,3,1,4,1,4,3,1,4,1,4,3,1,4,1,4,0,0,0
11f47b25-244d-4cb1-b133-3f73319c4657,6,6,12,0,0,0,2,8,0,0,0,6,12,0,0,0,1,7,0,0,0
11fbbecf-0854-4a9e-bfa2-484a21253090,2,4,6,2,4,6,4,6,2,4,6,4,6,2,4,6,1,3,0,0,0
12120285-9b41-4d53-b2db-5f16c33cbe1b,2,2,4,2,2,4,2,4,2,2,4,2,4,0,2,2,2,4,2,2,4
12898e1f-ca7c-4c56-aada-cfbe041a9386,6,6,12,6,6,12,6,12,6,6,12,6,12,6,6,12,1,7,0,0,0
12d54c45-32e8-43d7-ada0-88d0c5fa573f,2,2,4,2,2,4,2,4,2,2,4,2,4,2,2,4,2,4,2,2,4
12ea0926-6f7e-472e-b969-a078262b4803,3,3,6,3,3,6,3,6,3,3,6,3,6,3,3,6,3,6,3,3,6
13034c91-201b-47cf-affd-40d4582c4030,4,8,12,0,0,0,8,12,0,0,0,5,9,0,0,0,1,5,0,0,0
13255d3f-50b4-4b9b-8877-068c4d7a3f28,2,2,4,0,0,0,2,4,0,0,0,2,4,0,0,0,1,3,0,0,0
133d0796-ef7a-43b7-a760-1455eac61958,2,2,4,2,2,4,2,4,2,2,4,2,4,2,2,4,2,4,2,2,4
13406e15-b39c-4656-aa0f-93b37e15078d,2,4,6,2,4,6,4,6,2,4,6,4,6,2,4,6,1,3,0,0,0
134667e4-52c5-497d-ad38-3bab00da7a67,2,5,7,2,5,7,5,7,2,5,7,2,4,2,2,4,2,4,2,2,4
13c0708f-db1d-4719-8c9f-e8d69df385e8,2,5,7,0,5,5,5,7,0,5,5,5,7,0,5,5,1,3,0,1,1
141c2ee8-8ce4-4a32-b92d-b2bbe5adf546,5,5,10,5,5,10,5,10,5,5,10,5,10,5,5,10,5,10,5,5,10
1466978f-50c7-4b33-b75f-0ab2f2c1ea44,23,24,47,23,24,47,24,47,23,24,47,24,47,23,24,47,24,47,23,24,47
148e0476-3570-453b-943e-875eeb9aa1e7,1,7,8,1,7,8,7,8,1,7,8,6,7,1,6,7,1,2,1,1,2
14d8e439-c6b6-45ea-a719-ffa9a7427848,2,5,7,2,5,7,5,7,2,5,7,5,7,2,5,7,2,4,2,2,4
155349c7-a8be-4ba8-8297-bf018e1b5016,6,6,12,6,6,12,6,12,6,6,12,6,12,6,6,12,1,7,0,0,0
15575099-4c11-4dd3-a45b-b1520b2ec333,3,3,6,0,0,0,3,6,0,0,0,3,6,0,0,0,1,4,0,0,0
15b652b3-65de-4adb-96fa-eb320fc9ccb1,7,7,14,7,7,14,7,14,7,7,14,7,14,7,7,14,1,8,0,0,0
15e7af5e-f5b7-4ba7-8abc-fc48fb29da35,2,2,4,0,0,0,2,4,0,0,0,2,4,0,0,0,1,3,0,0,0
16a1cb4e-eb66-4b70-a6a4-d5d55366910d,2,2,4,2,2,4,2,4,2,2,4,2,4,2,2,4,2,4,2,2,4
16f364a2-fb56-4473-b3f1-4d6b9b95468c,2,13,15,2,13,15,13,15,2,13,15,13,15,2,13,15,1,3,2,1,3
16fb0a11-3d91-47b1-8e57-53180f84c027,2,4,6,0,0,0,4,6,0,0,0,4,6,0,0,0,1,3,0,0,0
16fe1cbd-8247-4b10-be40-9104b6e654c1,2,3,5,2,3,5,3,5,2,3,5,3,5,2,3,5,2,4,2,2,4
175810c8-ee34-4b61-8a30-d8462a3df548,6,6,12,6,6,12,6,12,6,6,12,6,12,6,6,12,6,12,6,6,12
17595bf4-8026-4a86-a7aa-1281f6068bac,11,12,23,11,12,23,12,23,11,12,23,12,23,11,12,23,12,23,11,12,23
